Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key,Transfer_Match
cyanobacteria,toxin-producing,SEMANTIC_CO_OCCURS,TAXON_GROUP;TOXIN_PHENOTYPE,TAXON_GROUP;TOXIN_PHENOTYPE,29,29,12238500;14766924;16650472;16710515;19627483;22081581;23648419;23891539;24334673;25421324;26417864;26842222;27817832;28678186;31012060;31695119;31940734;31995862;32323358;33128150;34442662;35198665;35509523;36430059;36470600;36981972;39545400;40424915;41893572,2002.0;2004.0;2006.0;2009.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2019.0;2020.0;2021.0;2022.0;2023.0;2025.0;2026.0,"('cyanobacteria', 'toxin-producing')",0
cyanobacteria,phosphorus,SEMANTIC_CO_OCCURS,ENV_FACTOR;TAXON_GROUP,ENV_FACTOR;TAXON_GROUP,24,24,15892061;21533636;23702304;24333522;26239440;26568470;27542935;28073499;28574457;29791446;29957289;30203964;30792397;31102855;31358272;31713695;32090402;34697712;34848287;38142507;38244903;40209228;41334952;41867601,2005.0;2011.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2022.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'phosphorus')",0
cyanobacteria,neosaxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,21,21,10414862;11137533;16879849;19632259;21376073;21710505;24031789;24334673;25046082;25285689;25456236;25544652;27130970;27424100;27907126;28604648;29705145;30296060;37888642;39547124;40209228,1999.0;2001.0;2006.0;2010.0;2011.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2023.0;2024.0;2025.0,"('cyanobacteria', 'neosaxitoxin')",0
cyanobacteria,ph,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,20,20,12875872;14733387;14766924;15243648;15294806;19627483;19874838;25046082;26347118;28526117;30831427;31310856;32090402;33980451;36399599;36629970;36801032;38244903;38393148;41867601,2003.0;2004.0;2009.0;2010.0;2014.0;2016.0;2017.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2026.0,"('cyanobacteria', 'ph')",0
climate change,cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,18,18,28073477;29970250;30380769;33111925;33875185;33980428;35622541;35902522;36136576;37394567;38754694;38943258;39195450;39265222;39330836;39703700;41532809;41915567,2016.0;2018.0;2020.0;2021.0;2022.0;2023.0;2024.0;2026.0,"('climate change', 'cyanobacteria')",0
ph,saxitoxin,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,TOXIN,ENV_FACTOR,18,18,14733387;14766924;15243648;15294806;19627483;25046082;26347118;30831427;31310856;33980451;35364510;36399599;36629970;36801032;38244903;38393148;41867601;6814018,1982.0;2003.0;2004.0;2009.0;2014.0;2016.0;2019.0;2021.0;2022.0;2023.0;2024.0;2026.0,"('ph', 'saxitoxin')",0
cyanobacteria,gonyautoxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,16,16,15177951;19632259;19778550;21376073;21556170;27130970;27907126;28374313;28604648;29705145;30296060;33526182;35323466;37678578;39547124;8599183,1995.0;2004.0;2010.0;2011.0;2016.0;2017.0;2018.0;2021.0;2022.0;2023.0;2024.0,"('cyanobacteria', 'gonyautoxins')",0
cyanobacteria,gene expression,SEMANTIC_CO_OCCURS,REGULATION_EXPRESSION;TAXON_GROUP,REGULATION_EXPRESSION;TAXON_GROUP,13,13,16650472;18461783;23648386;24043774;24956074;27796937;29957289;33298362;38710226;39571800;40209228;40449983;41334952,2006.0;2008.0;2013.0;2014.0;2017.0;2018.0;2020.0;2024.0;2025.0,"('cyanobacteria', 'gene expression')",0
cyanobacteria,light,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,13,13,14660387;15294806;23064102;23892224;24333522;25421324;28208628;28235579;29957289;34200983;34520086;35997789;38786590,2003.0;2004.0;2012.0;2013.0;2014.0;2017.0;2018.0;2021.0;2022.0;2024.0,"('cyanobacteria', 'light')",0
cyanobacteria,neostx,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,13,13,10858510;14660387;16646002;19632259;21710505;23955286;25046082;25456236;27130970;28604648;30552354;35131565;37888642,2000.0;2003.0;2006.0;2010.0;2013.0;2014.0;2016.0;2017.0;2018.0;2022.0;2023.0,"('cyanobacteria', 'neostx')",0
