Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key,Transfer_Match
cyanobacteria,saxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP;TOXIN,TAXON_GROUP;TOXIN,277,277,10414862;10858510;11137533;11257877;11348083;11800428;12450830;12539139;12565757;12779218;14660387;14718552;14733387;14766924;14969289;15177951;15243648;15294806;15342114;15892061;16302175;16433227;16512256;16650472;16710515;16879849;17195276;17665694;18214915;18237305;18487408;18728730;18850059;19041661;19331657;19484122;19627483;19632259;19660486;19731715;19778550;20101494;20359802;20455937;20559491;20714432;20935128;21049989;21073887;21076133;21223973;21376073;21432713;21479808;21493030;21508543;21556170;21625593;21709250;21710505;21964631;22081581;22304436;22628533;22983012;23051004;23335767;23423950;23535394;23648386;23702304;23892224;23955286;23966031;24015317;24031789;24275084;24333522;24334673;24357033;24460188;24461713;24659433;24956074;25046082;25346253;25361072;25441160;25456236;25544652;26091875;26164741;26347118;26546759;26568470;26740478;26842222;26888523;26923223;27007634;27009717;27034034;27130970;27151783;27190499;27338471;27352231;27424100;27569199;27796937;27817832;27907126;28040101;28073495;28073498;28073499;28073548;28202362;28208628;28235579;28245621;28349851;28364328;28370934;28409869;28433693;28604648;28771148;28836116;29027912;29027918;29074674;29151643;29306392;29390180;29495289;29543999;29705145;29791446;29933577;29970250;30079124;30170723;30200645;30208702;30243795;30296060;30373126;30380769;30472544;30502809;30552354;30772567;30792397;30831427;3085292;30961962;30983320;31012060;31102855;31223657;31231642;31310856;31341744;31358272;31527551;31695119;31713695;31831237;31936211;31940734;32033403;32163415;32247151;32290496;32323358;32485372;32526918;32592062;32593754;32708114;33069750;33084210;33111925;33128150;33189391;33298362;33401417;33526182;33670338;33773250;33916821;33980428;33980444;33980451;34023075;34200983;34283333;34357469;34520086;34564635;34697712;34754266;34940694;34974311;35031458;35131565;35198665;35287926;35323466;35489276;35622541;35997789;36068755;36399599;36430059;36470600;36470609;36477823;36629970;36689843;36801032;36871331;36965430;37268123;37603248;37624198;37624242;37888642;37951618;38175940;38205949;38225663;38244903;38270276;38393148;38401471;38448773;38692315;38705616;38710226;38754694;38805870;38943258;39003021;39025449;39128511;39195450;39195751;39265222;39330836;39545400;39571800;39591226;39703858;40108890;40209228;40227307;40246204;40274765;40401712;40424915;40449983;40700944;40710496;40710502;41224183;41334952;41532809;41591172;41604202;41655539;41702991;41867601;41893572;41915567;9620590,1986.0;1998.0;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'saxitoxin')",1
cyanobacteria,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP;TOXIN,TAXON_GROUP;TOXIN,83,83,10414862;10858510;11800428;12238500;12957964;15177951;15500853;15892061;16512256;16646002;18461769;19041661;19331657;19632259;19651152;19778550;20101494;20479965;20714432;21376073;21533636;21556170;21788479;21838624;22960450;23423950;23457475;23535394;23724809;23850895;24031789;24043774;24334673;24747603;24956074;25046082;25421324;26239440;26316331;26347118;26417864;26842222;27542935;27569199;27817832;27956245;28073476;28109209;28374313;28678186;28737704;29027912;29705145;2987916;30200645;30203964;30296060;30463170;30471380;30502809;30650549;30983320;31466003;32058687;32307073;32456077;33084210;33189391;33875176;33875178;33875183;33875185;35323466;36326655;37888642;38142507;38270276;39003021;39545400;40137908;40710502;41334952;9620590,1985.0;1998.0;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0,"('cyanobacteria', 'paralytic shellfish toxins')",1
cyanobacteria,dinoflagellates,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,80,80,12238500;12565757;12957964;18728730;18850059;19041661;19331657;19484122;19632259;19731715;20161971;20479965;20714432;20935128;21223973;21625593;22304436;22628533;22960450;22983012;23335767;23423950;23457475;23535394;23724809;23958976;23966031;24747603;25046082;25421324;26239440;26316331;26347118;26417864;26842222;27796937;27817832;28040101;28073499;28370934;28374313;28604648;28678186;28771148;28836116;29027912;29970250;30296060;30983320;31527551;32033403;32456077;32593754;33069750;33084210;33189391;33298362;33875176;33875183;33875185;34974311;35031458;35198665;35323466;36326655;36689843;36965430;38175940;38270276;38705616;38943258;39545400;39571800;40137908;40274765;40449983;40700944;40710502;41591172;41702991,2002.0;2003.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'dinoflagellates')",1
biosynthesis,cyanobacteria,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM;TAXON_GROUP,BIOLOGICAL_MECHANISM;TAXON_GROUP,77,77,12450830;14718552;18487408;18850059;19331657;19484122;20479965;20559491;20935128;21076133;22081581;22429476;23051004;23335767;23850895;23892224;23966031;24334673;24460188;24956074;25346253;25421324;26239440;26316331;26347118;26417864;26568470;26923223;27009717;27569199;27817832;28073484;28073495;28073499;28364328;28678186;29027912;29027918;29390180;29705145;30104548;30296060;30772567;30983320;31527551;32033403;32058687;32307073;32526918;33084210;33608790;33765498;34283333;35031458;35198665;35622541;35902522;36470600;36689843;37164563;37394567;38270276;38705616;38943258;39870345;40209228;40449983;40710502;40935530;41591172;41702991,2002.0;2004.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('biosynthesis', 'cyanobacteria')",1
gymnodinium catenatum,toxin profile,SEMANTIC_CO_OCCURS;SPECIES_ASSOCIATED_WITH_TOXIN,PHRASE_TAXON;SPECIES;TOXIN,PHRASE_TAXON;PHRASE_TOXIN_PHENOTYPE;TOXIN,72,72,P037;P038;P055;P056;P057;P061;P065;P103;P106;P178;P184;P185;P202;P203;P204;P208;P212;P222,2003;2004;2005;2010;2014;2015;2022,"('gymnodinium catenatum', 'toxin profile')",1
toxin composition,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE;TOXIN,PHRASE_TOXIN_PHENOTYPE;TOXIN,68,48,P038;P041;P042;P046;P053;P055;P087;P090;P110;P185;P188;P189;P193;P200;P202;P222,1990;1996;2003;2006;2010;2012;2015;2016;2022,"('toxin composition', 'toxin profile')",1
biosynthesis,saxitoxin,TOXIN_MECHANISM_RELATION,BIOLOGICAL_MECHANISM;TOXIN,BIOLOGICAL_MECHANISM;TOXIN,62,57,12450830;14718552;18487408;18850059;19331657;19484122;20559491;20935128;21076133;21347365;22081581;23051004;23335767;23892224;23966031;24334673;24460188;24956074;25346253;26347118;26568470;26923223;27009717;27569199;27817832;28073493;28073495;28073499;28364328;28797629;29027912;29027918;29390180;29705145;30296060;30772567;30983320;31527551;32033403;32070286;32526918;33084210;34283333;35031458;35198665;35622541;36470600;36689843;38270276;38705616;38943258;39305001;40209228;40449983;40710502;41591172;41702991,2002.0;2004.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('biosynthesis', 'saxitoxin')",1
dinoflagellates,saxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP;TOXIN,TAXON_GROUP;TOXIN,61,61,12565757;18728730;18850059;19041661;1908861;19331657;19484122;19632259;19731715;20714432;20935128;21223973;21625593;22304436;22628533;22983012;23335767;23423950;23535394;23966031;24718696;25046082;26347118;26842222;27796937;27817832;28040101;28073499;28370934;28604648;28771148;28836116;29027912;29970250;30296060;30983320;31527551;32033403;32593754;33069750;33084210;33189391;33298362;34974311;35031458;35198665;35323466;36689843;36965430;38175940;38270276;38705616;38943258;39545400;39571800;40274765;40449983;40700944;40710502;41591172;41702991,1991.0;2003.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('dinoflagellates', 'saxitoxin')",1
alexandrium,toxin composition,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE;TAXON_GROUP;TOXIN,PHRASE_TAXON;PHRASE_TOXIN_PHENOTYPE;TOXIN,58,54,P041;P042;P045;P046;P053;P078;P087;P090;P092;P110;P188;P189;P192;P193;P200;P222,1990;1996;1999;2003;2004;2006;2010;2012;2016;2021,"('alexandrium', 'toxin composition')",1
cyanobacteria,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TAXON_GROUP;TOXIN,TAXON_GROUP;TOXIN,56,56,10858510;11137533;12565757;14766924;15342114;15892061;16302175;16646002;16650472;16879849;17665694;18487408;18728730;18850059;19041661;19331657;19484122;20101494;20714432;21223973;21376073;21432713;21479808;21625593;21710505;22628533;22983012;23457475;23535394;23966031;24334673;25544652;27424100;27907126;28040101;28073495;28073499;28374313;29543999;30650549;31223657;32456077;33875178;33875185;35031458;35198665;36689843;38175940;39521072;39571800;40274765;40449983;40710496;40710502;41591172;7660371,1995.0;2000.0;2001.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'paralytic shellfish poisoning')",1
