Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score,Embedding_Bridge_Max_Similarity,Embedding_Coverage,Score_norm,Bridge_Score_norm,Common_Neighbors_norm,Adamic_Adar_norm,Jaccard_norm,pair_key,Temporal_Label,Status
gonyautoxin,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,340.80927495148893,98.0,30,7,7.523685094792083,0.4761904761904761,2142,51,42,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; phylogenetic; cyanobacteria; gymnodinium; pyrodinium; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; biosynthesis; toxin_production; gymnodinium_catenatum; hplc; bloom,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.4734554510269038,0.5693248629567835,0.6320195156674426,0.9223767889055564,0.8062338796103108,0.7900842979493753,1,0.6786423361041788,0.5914634146341463,0.7435897435897436,0.7047111166239052,0.7342549923195084,evolution||gonyautoxin,1,Validated
gonyautoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,312.56999787312884,80.0,32,7,8.1620481168923,0.5245901639344263,2142,51,42,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; nutrient; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; cyanobacteria; gtx; alexandrium_catenella; alexandrium_tamarense; biosynthesis; temperature; phosphate; anabaena; bloom; light,DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; CYANO_TAXON; ENV_FACTOR; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.4003930622365142,0.5668409144180091,0.5902842142574395,0.9369022496778262,0.7982550355096716,0.7900842979493753,1,0.6205624359122575,0.4817073170731707,0.7948717948717948,0.7663797142256501,0.8154415653093603,gonyautoxin||toxin_biosynthesis,1,Validated
alexandrium_tamarense,DINO_TAXON,sxtg,SXT_GENE,taxon_gene_association,260.3799690893336,62.0,29,6,7.312935364338931,0.4754098360655737,1944,54,36,saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; cyanobacterial; evolution; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,TOXIN; DINO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; CYANO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,0.3105706740974414,0.5157582479963959,0.4965192595798541,0.9472139477816413,0.7669360725009264,0.7570579389238076,1,0.5132228728503141,0.3719512195121951,0.717948717948718,0.6843517914875076,0.7329455314648334,alexandrium_tamarense||sxtg,1,Validated
regulation,BIOLOGICAL_PROCESS,sxt_genes,SXT_GENE,gene_process_association,230.3429382338948,54.0,25,6,6.220488724790518,0.4901960784313725,1380,46,30,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; cyanobacteria; paralytic_shellfish_toxins; pyrodinium; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; gymnodinium; transcriptome; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense; evolution,TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; CYANO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; SXT_GENE; CYANO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,0.3885049041702297,0.4781046029236237,0.4589213799706121,0.9615096981819024,0.7604743708973862,0.6896238302107396,1,0.4514455210680901,0.3231707317073171,0.6153846153846154,0.5788167747598106,0.7577482605945605,regulation||sxt_genes,1,Validated
light,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,248.5749212437373,56.0,29,6,7.287460621868691,0.5,1836,51,36,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; biosynthesis; sxta; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; cyanobacteria; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; SXT_GENE; TOXIN; DINO_TAXON; ENV_FACTOR; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,0.3129962418677851,0.4995233854060979,0.4815071053017218,0.941593517930966,0.7575589528792683,0.684974795402223,1,0.4889433561073556,0.3353658536585366,0.717948717948718,0.6818908224338228,0.774193548387097,light||sxtg,1,Validated
alexandrium_minutum,DINO_TAXON,sxt_genes,SXT_GENE,taxon_gene_association,247.1204230106919,59.0,27,6,6.810211505345947,0.45,1710,57,30,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; sxta; cyanobacteria; gymnodinium; gymnodinium_catenatum; paralytic_shellfish_toxins; pyrodinium; paralytic_shellfish_poisoning; phylogenetic; transcriptome; saxitoxin_biosynthesis; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense,TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; CYANO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON,dino_pre2016,unvalidated_candidate,0.3276519843624346,0.4708851069765317,0.4715673028310451,0.9432345834864218,0.7545676712242712,0.6415580337423074,1,0.4859518803705585,0.3536585365853658,0.6666666666666666,0.6357865170406308,0.6903225806451615,alexandrium_minutum||sxt_genes,1,Validated
gonyautoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,335.8637697636944,96.0,31,6,7.931884881847199,0.5,2142,51,42,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; phylogenetic; cyanobacteria; temperature; toxin_production; gtx; pyrodinium_bahamense; nutrient; biosynthesis; phosphate; anabaena; alexandrium_catenella,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; CYANO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,0.4008731267006585,0.5208447711815858,0.6161282069450367,0.8458101053565454,0.7539373459919418,0.7484074131751101,1,0.6684708842320681,0.5792682926829268,0.7692307692307693,0.7441449615327163,0.774193548387097,gonyautoxin||saxitoxin_biosynthesis,1,Validated
regulation,BIOLOGICAL_PROCESS,sxtg,SXT_GENE,gene_process_association,264.8736299306558,62.0,30,6,7.552199580712502,0.5769230769230769,1656,46,36,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; biosynthesis; paralytic_shellfish_toxins; evolution; cyanobacteria; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; SXT_GENE; CYANO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; TOXIN,dino_pre2016,unvalidated_candidate,0.4153513737287878,0.4751246901899774,0.5237679255984848,0.9044706083195344,0.7521895352311146,0.7077064583755528,1,0.5224650135905364,0.3719512195121951,0.7435897435897436,0.7074657378929468,0.9032258064516128,regulation||sxtg,1,Validated
sxta,SXT_GENE,salinity,ENV_FACTOR,environment_gene_regulation,311.972526339978,90.0,28,6,6.957277662742626,0.4057971014492754,2242,59,38,dinoflagellate; saxitoxin; alexandrium; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; pyrodinium; toxicity; dinoflagellates; alexandrium_minutum; toxin_production; bloom; light; pyrodinium_bahamense; regulation; alexandrium_tamarense; nutrient; gonyautoxin; alexandrium_catenella; lc_ms; nitrogen,DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; TOXIN; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR,dino_pre2016,unvalidated_candidate,0.2644820229710961,0.4741256991973145,0.5470431660790234,0.884467096604924,0.7494975243945637,0.7074252186915401,1,0.6193336124223139,0.5426829268292683,0.6923076923076923,0.6499937367061629,0.616175783076204,salinity||sxta,1,Validated
alexandrium_fundyense,DINO_TAXON,sxt_genes,SXT_GENE,taxon_gene_association,238.1686908725422,56.0,26,6,6.631515247591861,0.490566037735849,1470,49,30,saxitoxin; biosynthesis; dinoflagellate; alexandrium; saxitoxin_biosynthesis; dinoflagellates; sxta; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; phylogenetic; cyanobacteria; transcriptome; bloom; alexandrium_catenella; light; expression; cyanobacterial; evolution; toxin_biosynthesis; gene_duplication,TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; TOXIN; TOXIN; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,0.4895331100538498,0.513518859931936,0.4895665899076087,0.9176492231611342,0.746416169859724,0.6682479415924459,1,0.4675407961318985,0.3353658536585366,0.6410256410256411,0.6185236944289471,0.758368837492392,alexandrium_fundyense||sxt_genes,1,Validated
